"","...1","playerID","Player","votedBy","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","PrimaryTeam","PrimaryLg","all_star","gold_glove","lou_gehrig_memorial_award","most_valuable_player","tsn_player_of_the_year","hutch_award","tsn_fireman_of_the_year","silver_slugger","hank_aaron_award","rookie_of_the_year","baseball_magazine_all_star","pitching_triple_crown","rolaids_relief_man_award","tsn_major_league_player_of_the_year","alcs_mvp","all_star_game_mvp","babe_ruth_award","tsn_pitcher_of_the_year","cy_young_award","nlcs_mvp","roberto_clemente_award","world_series_mvp","tsn_reliever_of_the_year","comeback_player_of_the_year","branch_rickey_award","reliever_of_the_year_award","triple_crown","tsn_guide_mvp","outstanding_dh_award","AVG","OBP","1B","SLG","Steroids","nice_guy_awards","Pos","war","all_stars"
"218",218,"duncama01","Mariano Duncan","Veterans",1279,4677,619,1247,233,37,87,491,174,57,201,913,12,37,50,33,93,"CIN","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.267,0.297,890,0.388,0,0,"2B",5.7,1
"219",219,"dunnad01","Adam Dunn","BBWAA",2001,6883,1097,1631,334,10,462,1168,63,25,1317,2379,122,86,2,40,100,"CIN","NL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.237,0.364,825,0.49,0,0,"LF",17.9,2
"220",220,"dunstsh01","Shawon Dunston","Veterans",1814,5927,736,1597,292,62,150,668,212,82,203,1000,44,41,56,49,98,"CHN","NL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.269,0.293,1093,0.416,0,0,"SS",11.5,2
"221",221,"durhale01","Leon Durham","Veterans",1067,3587,522,992,192,40,147,530,106,61,444,679,96,9,3,24,49,"CHN","NL",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.277,0.355,613,0.475,0,0,"1B",16.3,2
"222",222,"durhara01","Ray Durham","Veterans",1975,7408,1249,2054,440,79,192,875,273,97,820,1201,34,72,55,68,151,"CHA","AL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.277,0.35,1343,0.436,0,0,"2B",33.8,2
"223",223,"durocle01","Leo Durocher","Veterans",1637,5350,575,1320,210,56,24,567,31,NA,377,480,NA,18,82,NA,NA,"BRO","NL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.247,0.294,1030,0.32,0,0,"SS",4.3,3
"224",224,"dyeje01","Jermaine Dye","Veterans",1763,6487,984,1779,363,25,325,1072,46,26,597,1308,40,63,2,65,184,"CHA","AL",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA,0.274,0.338,1066,0.488,0,0,"RF",20.3,2
"225",225,"dykstle01","Lenny Dykstra","Veterans",1278,4559,802,1298,281,43,81,404,285,72,640,503,50,31,25,27,39,"PHI","NL",3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.285,0.373,893,0.419,0,0,"CF",42.4,3
"226",226,"earlyja01","Jake Early","Veterans",747,2208,216,532,98,23,32,264,7,8,281,259,NA,11,18,NA,33,"WS1","AL",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.241,0.327,379,0.35,0,0,"C",NA,NA
"227",227,"easleda01","Damion Easley","Veterans",1706,5484,735,1386,287,27,163,684,114,56,510,935,22,132,42,43,128,"DET","AL",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.253,0.327,909,0.404,0,0,"2B",20.5,1
"228",228,"easlemi01","Mike Easler","Veterans",1151,3677,465,1078,189,25,118,522,20,26,321,696,46,17,6,40,85,"PIT","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.293,0.349,746,0.454,0,0,"LF",13.3,1
"229",229,"eckstda01","David Eckstein","Veterans",1311,5041,701,1414,232,20,35,392,123,45,376,418,3,143,106,39,88,"ANA","NL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA,0.28,0.339,1127,0.355,0,0,"SS",20.9,2
"230",230,"edmonji01","Jim Edmonds","Veterans",2011,6858,1251,1949,437,25,393,1199,67,50,998,1729,91,49,10,65,122,"SLN","NL",4,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.284,0.375,1094,0.527,0,0,"CF",60.4,4
"231",231,"edwarbr01","Bruce Edwards","Veterans",591,1675,191,429,67,20,39,241,9,NA,190,179,NA,8,21,NA,53,"BRO","NL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.256,0.331,303,0.39,0,0,"C",4.6,2
"232",232,"edwarjo01","Johnny Edwards","Veterans",1470,4577,430,1106,202,32,81,524,15,23,465,635,118,16,31,43,77,"CIN","NL",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.242,0.309,791,0.353,0,0,"C",14.7,3
"233",233,"elliobo01","Bob Elliott","Veterans",1978,7141,1064,2061,382,94,170,1195,60,NA,967,604,NA,16,66,NA,187,"PIT","NL",7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.289,0.372,1415,0.44,0,0,"3B",51,7
"234",234,"ellsbja01","Jacoby Ellsbury","BBWAA",1235,4846,749,1376,241,47,104,512,343,71,399,737,19,46,21,32,82,"BOS","AL",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0.284,0.341,984,0.417,0,0,"CF",31.2,1
"235",235,"encared01","Edwin Encarnacion","BBWAA",1960,7040,1099,1832,370,10,424,1261,61,14,903,1426,54,105,0,66,185,"TOR","AL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.26,0.35,1028,0.496,0,0,"DH",35.5,3
"236",236,"engliwo01","Woody English","Veterans",1261,4746,801,1356,236,52,32,422,57,NA,571,536,NA,29,123,NA,NA,"CHN","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.286,0.358,1036,0.378,0,0,"SS",27,1
"237",237,"ennisde01","Del Ennis","Veterans",1903,7254,985,2063,358,69,288,1284,45,NA,597,719,NA,31,20,NA,212,"PHI","NL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.284,0.341,1348,0.472,0,0,"LF",30.1,3
"238",238,"erstada01","Darin Erstad","Veterans",1654,6024,913,1697,316,33,124,699,179,58,475,939,46,37,36,43,87,"ANA","AL",2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.282,0.334,1224,0.407,0,0,"1B",32.3,2
"239",239,"escobal02","Alcides Escobar","BBWAA",1554,5750,670,1486,249,58,45,478,178,45,253,864,17,57,87,35,113,"KCA","AL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.258,0.291,1134,0.345,0,0,"SS",10.1,1
"240",240,"escobed01","Eduardo Escobar","BBWAA",1264,4403,561,1120,241,41,158,605,21,17,333,965,25,23,13,40,57,"MIN","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.254,0.307,680,0.435,0,0,"3B",13,1
"241",241,"etchean01","Andy Etchebarren","Veterans",948,2618,245,615,101,17,49,309,13,14,246,529,41,31,20,19,84,"BAL","AL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.235,0.304,448,0.343,0,0,"C",10.8,2
"242",242,"ethiean01","Andre Ethier","BBWAA",1455,4800,641,1367,303,34,162,687,29,28,519,938,68,58,2,44,104,"LAN","NL",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.285,0.358,868,0.463,0,0,"RF",21.5,2
"243",243,"evansda01","Darrell Evans","Veterans",2687,8973,1344,2223,329,36,414,1354,98,68,1605,1410,141,35,34,90,133,"ATL","NL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.248,0.36,1444,0.431,0,0,"3B",58.8,2
"244",244,"evansdw01","Dwight Evans","Veterans",2606,8996,1470,2446,483,73,385,1384,78,59,1391,1697,60,53,52,77,227,"BOS","AL",3,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.272,0.368,1505,0.47,0,0,"RF",67.2,3
"245",245,"evereca01","Carl Everett","Veterans",1405,4809,707,1304,258,26,202,792,107,54,442,1021,39,87,15,42,83,"CHA","AL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.271,0.34,818,0.462,0,0,"CF",20.4,2
"246",246,"eversho01","Hoot Evers","Veterans",1142,3801,556,1055,187,41,98,565,45,36,415,420,NA,27,65,NA,116,"DET","AL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.278,0.347,729,0.426,0,0,"LF",12.9,2
"247",247,"fairlro01","Ron Fairly","Veterans",2442,7184,931,1913,307,33,215,1044,35,33,1052,877,129,40,96,65,157,"LAN","NL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.266,0.356,1358,0.408,0,0,"1B",35.1,2
"248",248,"fernato01","Tony Fernandez","Veterans",2158,7911,1057,2276,414,92,94,844,246,138,690,784,48,64,67,61,161,"TOR","AL",5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.288,0.345,1676,0.399,0,0,"SS",45.3,5
"249",249,"fickro01","Robert Fick","Veterans",846,2373,287,613,116,12,69,324,6,9,235,386,19,22,4,24,61,"DET","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.258,0.327,416,0.405,0,0,"1B",2.2,1
"250",250,"fieldce01","Cecil Fielder","Veterans",1470,5157,744,1313,200,7,319,1008,2,6,693,1316,76,43,0,46,169,"DET","AL",3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0.255,0.345,787,0.482,0,0,"1B",17.2,3
"251",251,"fieldpr01","Prince Fielder","BBWAA",1611,5821,862,1645,321,10,319,1028,18,11,847,1155,164,124,0,61,158,"MIL","NL",6,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,0.283,0.382,995,0.506,0,0,"1B",23.8,6
"252",252,"finlest01","Steve Finley","Veterans",2583,9397,1443,2548,449,124,304,1167,320,118,844,1299,69,53,91,75,152,"ARI","NL",2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.271,0.329,1671,0.442,0,0,"CF",44.2,2
"253",253,"finnelo01","Lou Finney","Veterans",1270,4631,643,1329,203,85,31,494,39,NA,329,186,NA,10,63,NA,NA,"PHA","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.287,0.331,1010,0.388,0,0,"RF",3.8,1
"254",254,"fletcda01","Darrin Fletcher","Veterans",1245,3902,377,1048,214,8,124,583,2,6,255,399,31,49,13,51,122,"MON","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.269,0.317,702,0.423,0,0,"C",7.6,1
"255",255,"fletcel01","Elbie Fletcher","Veterans",1415,4879,723,1323,228,58,79,616,32,NA,851,495,NA,42,54,NA,97,"PIT","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.271,0.38,958,0.39,0,0,"1B",33.3,1
"256",256,"floydcl01","Cliff Floyd","Veterans",1621,5319,824,1479,340,23,233,865,148,43,601,1064,87,91,4,48,85,"FLO","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.278,0.358,883,0.482,0,0,"LF",25.9,1
"257",257,"flynndo01","Doug Flynn","Veterans",1308,3853,288,918,115,39,7,284,20,20,151,320,58,1,60,20,95,"NYN","NL",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.238,0.262,757,0.294,0,0,"2B",-6.9,0
"258",258,"foileha01","Hank Foiles","Veterans",608,1455,171,353,59,10,46,166,3,7,170,295,NA,2,19,NA,31,"CLE","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.243,0.319,238,0.392,0,0,"C",4.8,1
"259",259,"fonsele01","Lew Fonseca","Veterans",937,3404,518,1075,203,50,31,485,64,36,186,199,NA,23,111,NA,NA,"CLE","AL",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.316,0.345,791,0.432,0,0,"1B",14.1,0
"260",260,"fossera01","Ray Fosse","Veterans",924,2957,299,758,117,13,61,324,15,19,203,363,35,18,28,20,82,"CLE","AL",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.256,0.303,567,0.367,0,0,"C",12.8,2
"261",261,"fostege01","George Foster","Veterans",1977,7023,986,1925,307,47,348,1239,51,31,666,1419,106,52,3,68,196,"CIN","NL",5,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.274,0.338,1223,0.48,0,0,"LF",44.1,5
"262",262,"fowlede01","Dexter Fowler","BBWAA",1460,5040,817,1306,253,82,127,517,149,68,740,1326,16,51,43,28,58,"COL","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.259,0.355,844,0.417,0,0,"CF",19.4,1
"263",263,"foxpe01","Pete Fox","Veterans",1461,5636,895,1678,314,75,65,694,158,81,392,471,NA,33,107,NA,NA,"DET","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.298,0.341,1224,0.415,0,0,"RF",16.1,1
"264",264,"francje02","Jeff Francoeur","BBWAA",1481,5260,626,1373,281,27,160,698,54,39,284,1080,48,60,2,54,126,"ATL","NL",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.261,0.303,905,0.416,0,0,"RF",6.8,0
"265",265,"francju01","Julio Franco","Veterans",2527,8677,1285,2586,407,54,173,1194,281,107,917,1341,67,38,19,80,312,"CLE","AL",3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.298,0.364,1952,0.417,0,0,"SS",43.6,3
"266",266,"francti01","Tito Francona","Veterans",1719,5121,650,1395,224,34,125,656,46,21,544,694,59,32,38,41,103,"CLE","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.272,0.341,1012,0.403,0,0,"LF",14,1
"267",267,"frazito01","Todd Frazier","BBWAA",1244,4392,604,1059,212,15,218,640,73,38,438,1085,12,77,4,38,95,"CIN","NL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.241,0.318,614,0.445,0,0,"3B",25.2,2
"268",268,"freehbi01","Bill Freehan","Veterans",1774,6073,706,1591,241,35,200,758,24,21,626,753,67,114,38,48,138,"DET","AL",11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.262,0.338,1115,0.412,0,0,"C",44.8,11
"269",269,"freemfr01","Freddie Freeman","BBWAA",1724,6379,1086,1903,414,27,292,1041,66,27,860,1414,114,81,0,48,132,"ATL","NL",6,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.298,0.386,1170,0.509,0,0,"1B",49,6
"270",270,"freesda01","David Freese","BBWAA",1184,3758,481,1041,197,7,113,535,8,11,370,974,11,73,4,24,134,"SLN","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,NA,0.277,0.351,724,0.423,0,0,"3B",18.7,1
"271",271,"fregoji01","Jim Fregosi","Veterans",1902,6523,844,1726,264,78,151,706,76,40,715,1097,48,32,79,53,125,"CAL","AL",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.265,0.334,1233,0.398,0,0,"SS",48.7,6
"272",272,"freylo01","Lonny Frey","Veterans",1535,5517,848,1482,263,69,61,549,105,NA,752,525,NA,28,105,NA,73,"CIN","NL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.269,0.353,1089,0.374,0,0,"2B",44.5,3
"273",273,"frymatr01","Travis Fryman","Veterans",1698,6481,895,1776,345,40,223,1022,72,38,602,1369,19,41,15,78,154,"DET","AL",5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.274,0.335,1168,0.443,0,0,"3B",34.4,5
"274",274,"furcara01","Rafael Furcal","BBWAA",1614,6477,1063,1817,311,69,113,587,314,94,643,910,24,22,55,39,84,"ATL","NL",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.281,0.343,1324,0.402,0,0,"SS",NA,NA
"275",275,"furilca01","Carl Furillo","Veterans",1806,6378,895,1910,324,56,192,1058,48,NA,514,436,NA,47,59,NA,207,"BRO","NL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.299,0.353,1338,0.458,0,0,"RF",34.6,2
"276",276,"gaettga01","Gary Gaetti","Veterans",2507,8951,1130,2280,443,39,360,1341,96,65,634,1602,57,96,32,104,236,"MIN","AL",2,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.255,0.307,1438,0.434,0,0,"3B",42.1,2
"277",277,"galanau01","Augie Galan","Veterans",1742,5937,1004,1706,336,74,100,830,123,NA,979,393,NA,25,62,NA,72,"CHN","NL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.287,0.387,1196,0.419,0,0,"LF",45.4,3
"278",278,"galaran01","Andres Galarraga","Veterans",2257,8096,1195,2333,444,32,399,1425,128,81,583,2003,106,178,1,58,179,"MON","NL",5,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.288,0.347,1458,0.499,0,0,"1B",31.7,5
"279",279,"gantro01","Ron Gant","Veterans",1832,6449,1080,1651,302,50,321,1008,243,102,770,1411,38,32,12,57,98,"ATL","NL",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.256,0.335,978,0.468,0,0,"LF",34.1,2
"280",280,"garciav01","Avisail Garcia","BBWAA",1049,3791,484,1006,150,16,135,510,49,32,255,986,21,57,0,26,100,"CHA","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.265,0.319,705,0.42,0,0,"RF",9.8,1
"281",281,"garcida01","Damaso Garcia","Veterans",1032,3914,490,1108,183,27,36,323,203,90,130,322,11,27,29,24,82,"TOR","AL",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.283,0.307,862,0.371,0,0,"2B",7.2,2
"282",282,"garcino01","Nomar Garciaparra","Veterans",1434,5586,927,1747,370,52,229,936,95,31,403,554,54,59,5,63,129,"BOS","AL",6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0.313,0.361,1096,0.521,0,0,"SS",44.3,6
"283",283,"gardnbr01","Brett Gardner","BBWAA",1688,5737,943,1470,251,73,139,578,274,64,699,1245,6,67,69,42,58,"NYA","AL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.256,0.338,1007,0.398,0,0,"LF",44.3,1
"284",284,"gardnla01","Larry Gardner","Veterans",1923,6688,867,1931,301,129,27,934,165,NA,654,NA,NA,32,311,NA,NA,"BOS","AL",5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.289,0.341,1474,0.384,0,0,"3B",48.3,0
"285",285,"garneph01","Phil Garner","Veterans",1860,6136,780,1594,299,82,109,738,225,105,564,842,74,34,67,59,131,"HOU","NL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.26,0.32,1104,0.389,0,0,"2B",29.7,3
"286",286,"garrra01","Ralph Garr","Veterans",1317,5108,717,1562,212,64,75,408,172,83,246,445,46,19,62,21,72,"ATL","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.306,0.335,1211,0.416,0,0,"LF",14.8,1
"287",287,"gastoci01","Cito Gaston","Veterans",1026,3120,314,799,106,30,91,387,13,7,185,693,14,9,10,15,85,"SDN","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.256,0.297,572,0.397,0,0,"CF",-0.8,1
"288",288,"gedmari01","Rich Gedman","Veterans",1033,3159,331,795,176,12,88,382,3,4,236,509,53,16,29,28,80,"BOS","AL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.252,0.302,519,0.399,0,0,"C",9.6,2
"289",289,"gentiji01","Jim Gentile","Veterans",936,2922,434,759,113,6,179,549,3,1,475,663,54,45,5,32,69,"BAL","AL",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.26,0.368,461,0.486,0,0,"1B",17,6
"290",290,"geronce01","Cesar Geronimo","Veterans",1522,3780,460,977,161,50,51,392,82,40,354,746,83,31,39,25,68,"CIN","NL",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.258,0.322,715,0.368,0,0,"CF",13,0
"291",291,"giambja01","Jason Giambi","BBWAA",2260,7267,1227,2010,405,9,440,1441,20,12,1366,1572,97,180,2,93,166,"OAK","AL",5,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0.277,0.399,1156,0.516,0,1,"1B",50.5,5
"292",292,"gibsoge01","George Gibson","Veterans",1213,3776,295,893,142,49,15,345,40,NA,286,270,NA,26,102,NA,NA,"PIT","NL",4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.236,0.288,687,0.312,0,0,"C",14.8,0
"293",293,"gibsoki01","Kirk Gibson","Veterans",1635,5798,985,1553,260,54,255,870,284,78,718,1285,72,61,23,56,72,"DET","AL",0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.268,0.35,984,0.463,0,0,"LF",38.4,0
"294",294,"gilesbr02","Brian Giles","Veterans",1847,6527,1121,1897,411,55,287,1078,109,45,1183,835,114,51,4,70,160,"SDN","NL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.291,0.4,1144,0.502,0,0,"RF",51.1,2
"295",295,"gilliji01","Jim Gilliam","Veterans",1956,7119,1163,1889,304,71,65,558,203,111,1036,416,NA,33,98,NA,90,"LAN","NL",4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.265,0.357,1449,0.355,0,0,"2B",45.1,4
"296",296,"girarjo01","Joe Girardi","Veterans",1277,4127,454,1100,186,26,36,422,44,31,279,607,34,25,81,23,137,"CHN","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.267,0.31,852,0.35,0,0,"C",5.6,1
"297",297,"glaustr01","Troy Glaus","Veterans",1537,5410,889,1375,293,10,320,950,56,29,854,1377,40,46,0,45,138,"ANA","AL",4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA,0.254,0.358,752,0.489,0,0,"3B",38.1,4
"298",298,"goldspa01","Paul Goldschmidt","BBWAA",1620,5927,1045,1750,382,22,315,1042,147,33,916,1545,108,44,0,50,134,"ARI","NL",7,4,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.295,0.391,1031,0.527,0,0,"1B",58.5,7
"299",299,"gomesya01","Yan Gomes","BBWAA",968,3283,392,807,170,8,125,447,7,0,193,841,15,53,3,35,97,"CLE","AL",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.246,0.295,504,0.417,0,0,"C",17.6,1
"300",300,"gomezca01","Carlos Gomez","BBWAA",1461,4724,675,1189,236,41,145,546,268,74,319,1259,9,112,45,27,75,"MIL","NL",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.252,0.31,767,0.411,0,0,"CF",24.4,2
"301",301,"gonzaad01","Adrian Gonzalez","BBWAA",1929,7139,997,2050,437,12,317,1202,6,7,782,1401,158,45,4,73,207,"LAN","NL",5,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.287,0.358,1284,0.485,0,0,"1B",43.5,5
"302",302,"gonzaal02","Alex Gonzalez","BBWAA",1609,5776,667,1418,332,31,157,690,30,22,300,1168,48,79,50,43,138,"FLO","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.245,0.288,898,0.395,0,0,"SS",9.4,1
